receipt_id,bonusPointsEarned,bonusPointsEarnedReason,createDate,dateScanned,finishedDate,modifyDate,pointsAwardedDate,pointsEarned,purchaseDate,purchasedItemCount,rewardsReceiptStatus,totalSpent,userId
60189cae0a7214ad2800004f,5.0,All-receipts receipt bonus,2021-02-02,2021-02-02,2021-02-02,2021-02-02,2021-02-02,5.0,2021-02-02,1.0,FINISHED,2.23,60189c74c8b50e11d8454eff
60189cb40a720f05f4000060,,,2021-02-02,2021-02-02,,2021-02-02,,,2017-10-30,3.0,REJECTED,3.0,60189c74c8b50e11d8454eff
6018a12c0a720f05f4000067,,,2021-02-02,2021-02-02,,2021-02-02,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
6018bd4b0a720f05f4000074,,,2021-02-02,2021-02-02,,2021-02-02,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
6018af3b0a7214ad28000059,,,2021-02-02,2021-02-02,,2021-02-02,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
60189cb60a720f05f4000061,,,2021-02-02,2021-02-02,,2021-02-02,,,,,SUBMITTED,,60189c74c8b50e11d8454eff
60189cbe0a720f05f4000062,5.0,All-receipts receipt bonus,2021-02-02,2021-02-02,2021-02-02,2021-02-02,2021-02-02,5.0,2021-02-01,2.0,FINISHED,11.0,60189c74c8b50e11d8454eff
5fb2da580a7214ad89000114,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2020-11-16,2020-11-16,,2021-02-02,2020-11-16,750.0,2020-11-15,11.0,REJECTED,1.0,5fb2da582357ec11d4ecc403
601af3530a720f05f4000212,,,2021-02-03,2021-02-03,,2021-02-03,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
601aba020a7214ad280001d1,,,2021-02-03,2021-02-03,,2021-02-03,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
601a6c8d0a720f05f40001c4,,,2021-02-03,2021-02-03,,2021-02-03,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
601a59ce0a7214ad2800019b,,,2021-02-03,2021-02-03,,2021-02-03,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
601a23e60a7214ad28000187,,,2021-02-03,2021-02-03,,2021-02-03,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
601aaf5b0a720f05f40001dd,,,2021-02-03,2021-02-03,,2021-02-03,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
601b0bf00a720f05f400021b,,,2021-02-03,2021-02-03,,2021-02-03,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
601a2e730a720f05f40001a9,,,2021-02-03,2021-02-03,,2021-02-03,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
601a93390a720f05f40001d5,,,2021-02-03,2021-02-03,,2021-02-03,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
601b2c090a7214ad2800021a,,,2021-02-03,2021-02-03,,2021-02-03,,,,,SUBMITTED,,542ace60e4b0b3d724922499
601adab60a720f05f4000207,,,2021-02-03,2021-02-03,,2021-02-03,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
601a48390a720f05f40001b6,,,2021-02-03,2021-02-03,,2021-02-03,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
601a74c20a720f05f40001c8,,,2021-02-03,2021-02-03,,2021-02-03,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
601aaf580a7214ad280001ca,500.0,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-02-03,2021-02-03,2021-02-03,2021-02-03,2021-02-03,500.0,2021-01-31,5.0,FINISHED,25.0,601aaebde409201029849b3c
601aaf7a0a720f05f40001e8,25.0,COMPLETE_NONPARTNER_RECEIPT,2021-02-03,2021-02-03,2021-02-03,2021-02-03,2021-02-03,25.0,2021-02-03,1.0,FINISHED,9.99,601aaebde409201029849b3c
601ab6630a720f05f40001eb,,,2021-02-03,2021-02-03,,2021-02-03,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
601ac1d80a720f05f40001fe,5.0,All-receipts receipt bonus,2021-02-03,2021-02-03,2021-02-03,2021-02-03,2021-02-03,5.0,2021-02-02,1.0,FINISHED,1.0,54943462e4b07e684157a532
601ab7900a720f05f40001ec,,,2021-02-03,2021-02-03,,2021-02-03,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
601a25110a7214ad28000188,,,2021-02-03,2021-02-03,,2021-02-03,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
601b14240a720f05f400021e,,,2021-02-03,2021-02-03,,2021-02-03,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
601a2d450a7214ad2800018b,,,2021-02-03,2021-02-03,,2021-02-03,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
601ae6710a720f05f400020c,,,2021-02-03,2021-02-03,,2021-02-03,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
601b32150a7214ad28000220,,,2021-02-03,2021-02-03,,2021-02-03,,,,,SUBMITTED,,5a43c08fe4b014fd6b6a0612
601af2280a7214ad28000209,,,2021-02-03,2021-02-03,,2021-02-03,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
601a5afc0a7214ad2800019c,,,2021-02-03,2021-02-03,,2021-02-03,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
601ad7310a720f05f4000206,,,2021-02-03,2021-02-03,,2021-02-03,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
601aaf710a720f05f40001e6,27.0,COMPLETE_PARTNER_RECEIPT,2021-02-03,2021-02-03,2021-02-03,2021-02-03,2021-02-03,50.6,2021-02-02,4.0,FINISHED,4.66,601aaebde409201029849b3c
601af5aa0a720f05f4000214,,,2021-02-03,2021-02-03,,2021-02-03,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
601b32160a7214ad28000221,,,2021-02-03,2021-02-03,,2021-02-03,,,2019-01-03,0.0,REJECTED,0.0,5a43c08fe4b014fd6b6a0612
601af6d90a720f05f4000215,,,2021-02-03,2021-02-03,,2021-02-03,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
601c540f0a720f05f40002be,,,2021-02-04,2021-02-04,,2021-02-04,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
601c090e0a7214ad28000282,,,2021-02-04,2021-02-04,,2021-02-04,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
601c5d700a7214ad280002bc,,,2021-02-04,2021-02-04,,2021-02-04,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
601c702e0a7214ad280002e8,,,2021-02-04,2021-02-04,,2021-02-04,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
601c40230a720f05f40002b5,,,2021-02-04,2021-02-04,,2021-02-04,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
601c27870a720f05f400029e,,,2021-02-04,2021-02-04,,2021-02-04,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
601bd57e0a7214ad2800026d,,,2021-02-04,2021-02-04,,2021-02-04,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
601c68b50a720f05f40002c8,5.0,All-receipts receipt bonus,2021-02-04,2021-02-04,2021-02-04,2021-02-04,2021-02-04,5.0,2021-02-03,2.0,FINISHED,1.0,601c6887969c0b11f7d0c81f
601c87a00a7214ad280002f0,,,2021-02-04,2021-02-04,,2021-02-04,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
601bbf390a7214ad28000260,,,2021-02-04,2021-02-04,,2021-02-04,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
601bbbb50a720f05f400026a,,,2021-02-04,2021-02-04,,2021-02-04,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
601b85cc0a7214ad2800024b,,,2021-02-04,2021-02-04,,2021-02-04,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
601c68ce0a7214ad280002d6,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-02-04,2021-02-04,2021-02-04,2021-02-04,2021-02-04,1750.0,2021-02-04,8.0,FINISHED,29.0,601c68ce29c30a1227ada468
601c28b30a720f05f400029f,,,2021-02-04,2021-02-04,,2021-02-04,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
601b730f0a7214ad28000243,,,2021-02-04,2021-02-04,,2021-02-04,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
601b48df0a720f05f4000238,,,2021-02-04,2021-02-04,,2021-02-04,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
601c2c3a0a720f05f40002a2,300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-02-04,2021-02-04,2021-02-04,2021-02-04,2021-02-04,650.0,2021-02-04,1.0,FINISHED,9.99,601c2c05969c0b11f7d0b097
601bc2bd0a7214ad28000262,,,2021-02-04,2021-02-04,,2021-02-04,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
601b5cc90a7214ad2800023a,,,2021-02-04,2021-02-04,,2021-02-04,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
601be7120a720f05f400027a,,,2021-02-04,2021-02-04,,2021-02-04,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
601c2d630a7214ad280002a7,,,2021-02-04,2021-02-04,,2021-02-04,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
601c11410a720f05f400028e,,,2021-02-04,2021-02-04,,2021-02-04,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
601c2c540a720f05f40002a4,100.0,"Receipt number 6 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-02-04,2021-02-04,2021-02-04,2021-02-04,2021-02-04,100.0,2021-02-03,1.0,FINISHED,10.0,601c2c05969c0b11f7d0b097
